S.No.,Month,Year,PM10_Levels,SO2_Levels,Nox_Levels, PM2.5_Levels,Ammonia_Levels,Ozone_Levels,CO_Levels, Benzene_Levels,AQI
1,January,2017,174,26.4,35,79,25,107.6,0.9,0.7,149
2,February,2017,143,35.1,40.3,75,31,103,0.9,0.9,129
3,March,2017,142,32.1,30.9,59,26,80.7,0.8,0.5,128
4,April,2017,117,50.9,36.3,75,36,79.5,0.9,0.7,111
5,May,2017,NA,41.6,25.2,53,28,70,0.5,0.5,NA
6,June,2017,NA,35.5,21.2,25,26,38.8,0.3,0.6,NA
7,July,2017,111,38.9,21.5,29,30,24.4,0.3,0.7,106.7
8,August,2017,78,36,18.4,35,23,22.5,0.4,0.5,78.3
9,September,2017,86,30,22.3,39,20,35.2,0.4,0.4,86
10,October,2017,146,37.1,32.6,63,23,52.8,0.6,0.5,130
11,November,2017,NA,22.1,29.7,50,17,57.4,0.5,0.2,NA
12,December,2017,NA,13.1,38.5,72,19,63.5,0.8,0.3,NA
13,January,2018,NA,NA,NA,75,26,71.7,0.8,0.4,156
14,February,2018,178,17,37,53,23,54.1,0.7,0.3,118
15,March,2018,144,17.2,29.7,63,22,48.3,0.7,0.3,129
16,April,2018,159,16.5,30,44,20,38.7,0.5,0.2,109.4
17,May,2018,130,16.6,32.3,39,16.9,39.5,0.5,0.2,106.9
18,June,2018,121,16.8,32.9,27,27.9,18,0.7,0.3,79.6
19,July,2018,123,14.5,31.3,22,33,7.9,0.2,0.4,65.6
20,August,2018,171,16.5,28.8,19,24,12.6,0.3,0.2,75
21,September,2018,156,16,27.8,43,22,9.9,0.4,0.2,93
22,October,2018,125,16.5,27.3,63,14,18,0.5,0.1,127
23,November,2018,132,14.2,30.4,54,11,20.1,0.5,0.1,110.5
24,December,2018,139,14.3,29.8,67,11,19.3,0.6,0.1,135.9
25,January,2019,106,4.8,26,77,21,17.6,0.6,0.1,103.5
26,February,2019,106,6.1,29.5,56,16,18.9,0.6,0.1,103.5
27,March,2019,104,4.8,26,50,19,15.1,0.6,0.1,100.6
28,April,2019,99,5.5,28.2,39,14,31.6,0.5,0.1,97.3
29,May,2019,108,8.9,28.5,50,25,34.2,0.6,0.1,105.2
30,June,2019,104,8.9,29,31,26,24.9,0.4,0.1,101.5
31,July,2019,95,19.6,29.3,24,25,18,0.3,0.1,94
32,August,2019,100,29.7,27.5,25,34,21.4,0.4,0.1,99
33,September,2019,93,22.3,26.2,24,27,21.6,0.5,0.1,92.4
34,October,2019,91,9.8,27,37,22,29.7,0.5,0.1,90.6
35,November,2019,100,12,29.7,79,22,41.7,0.6,0.2,97.1
36,December,2019,108,5.1,30.7,73,20,33.5,0.6,0.2,105
37,January,2020,134,9,33.3,58,23,31.5,0.5,0.2,123
38,February,2020,131,9.1,37.1,44,21,26,0.4,0.3,120.7
39,March,2020,129,9,37.2,35,22,23.5,0.4,0.2,120
40,April,2020,NA,7.7,NA,27,23,26.4,0.3,0.1,NA
41,May,2020,122,12,25.3,30,32,24,0.4,0.3,115
42,June,2020,133,12,31.4,22,37,12,0.3,0.4,123
43,July,2020,129,10,28,18,23,7.8,0.3,0.3,119
44,August,2020,113,13.4,27.1,17,28,6.9,0.3,0.3,108
45,September,2020,79,22.5,28.1,23,32,25.9,0.3,0.5,78
46,October,2020,84,24.3,28.5,57,33,45.2,0.4,0.4,84
47,November,2020,102,11,32,59,17,47.2,0.4,0.2,101
48,December,2020,106,9.8,29.4,87,17,36.6,0.5,0.2,104
49,January,2021,104,4,30.9,74,22,21.7,0.5,0.2,102
50,February,2021,96,8.6,34.5,66,22,10.2,0.5,0.2,93
51,March,2021,105,12,31.6,67,24,2.4,0.5,0.3,103
52,April,2021,111,10.8,24.6,51,29,8.7,0.4,0.2,107
53,May,2021,82,8.4,28.9,26,21,6.1,0.3,0.1,81
54,June,2021,85,16.7,28.9,18,20,7.8,0.3,0.1,85
55,July,2021,83,18.8,27.3,12,20,8.7,0.3,0.1,83
56,August,2021,82,24.9,27,24,25,7.4,0.3,0.1,82
57,September,2021,85,24.8,28.5,19,20,4.7,0.4,0.1,85
58,October,2021,92,15.4,29.7,47,23,15.4,0.5,0,92
59,November,2021,97,9.4,29.9,49,21,15.5,0.5,0.03,96
60,December,2021,90,10.9,33.3,79,23,13.6,0.7,0.1,90
61,January,2022,87,13.2,29.2,62,16,14.6,0.54,0.05,146
62,February,2022,91,14,31,54,26,18.6,0.56,0.04,119
63,March,2022,86,14.8,32.4,62,35,12.6,0.72,0.05,137
64,April,2022,90,15.8,33.8,47,31,22.6,0.64,0.04,118
65,May,2022,87,13.3,36.5,42,29,5.3,0.78,0.04,123
66,June,2022,91,14.5,33.8,29,31,11.1,1.13,0.03,92
67,July,2022,76,9.3,30.3,23,26,15.7,0.69,0.03,58
68,August,2022,89,12,35,22,26,15.2,0.64,0.09,67
69,September,2022,92,13,37.3,30,31,10,0.7,0.06,76
70,October,2022,93,12,30.7,46,28,9.7,0.67,0.07,101
71,November,2022,87,10.4,28.2,78,30,12.1,1.52,0.03,166
72,December,2022,88,13,34.5,72,15,16.5,1.39,0.04,162
